"","Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Director","Actor"
"77",77,"Geostorm","    When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.",109,"Action",5.4,21,58847,"Dean Devlin","Gerard Butler"
"78",78,"Girls Trip","    When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling, and romancing to make the Big Easy blush.",122,"Comedy",6.2,71,23167,"Malcolm D. Lee","Regina Hall"
"79",79,"American Made","    The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",115,"Action",7.2,65,98736,"Doug Liman","Tom Cruise"
"80",80,"The Mummy","    An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",110,"Action",5.5,34,133020,"Alex Kurtzman","Tom Cruise"
"81",81,"The Death of Stalin","    Follows the Soviet dictator's last days and depicts the chaos of the regime after his death.",107,"Comedy",7.2,88,35427,"Armando Iannucci","Steve Buscemi"
"82",82,"Despicable Me 3","    Gru meets his long-lost charming, cheerful, and more successful twin brother Dru who wants to team up with him for one last criminal heist.",89,"Animation",6.3,49,73872,"Kyle Balda","Steve Carell"
"83",83,"What Happened to Monday","    In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",123,"Action",6.9,47,64070,"Tommy Wirkola","Noomi Rapace"
"84",84,"Breath","    Based on Tim Winton's award-winning and international bestselling novel set in mid-70s coastal Australia. Two teenage boys, hungry for discovery, form an unlikely friendship with a ...                See full summary »",115,"Drama",7.3,81,529,"Simon Baker","Elizabeth Debicki"
"85",85,"Flatliners","    Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife.",109,"Drama",5.2,27,24961,"Niels Arden Oplev","Ellen Page"
"86",86,"The Ritual","    A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",94,"Horror",6.3,57,33475,"David Bruckner","Rafe Spall"
"87",87,"Beast","    A troubled woman living in an isolated community finds herself pulled between the control of her oppressive family and the allure of a secretive outsider suspected of a series of brutal murders.",107,"Drama",7.1,74,1144,"Michael Pearce","Jessie Buckley"
"88",88,"A Fantastic Woman","    Marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend.",100,"Drama",7.3,86,11541,"Sebastián Lelio","Daniela Vega"
"89",89,"Small Town Crime","    An alcoholic ex-cop (Hawkes) finds the body of a young woman and, through an act of self-redemption, becomes hell-bent on finding the killer but unwittingly puts his family in danger and ...                See full summary »",91,"Crime",6.6,68,5063,"Eshom Nelms","John Hawkes"
"90",90,"Paddington 2","    Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.",103,"Animation",7.9,88,28494,"Paul King","Ben Whishaw"
"91",91,"Cars 3","    Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.",102,"Animation",6.8,59,45467,"Brian Fee","Owen Wilson"
"92",92,"Life","    A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.",104,"Horror",6.6,54,157632,"Daniel Espinosa","Jake Gyllenhaal"
"93",93,"Father Figures","    Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him.",113,"Comedy",5.3,22,7529,"Lawrence Sher","Owen Wilson"
"94",94,"Mom and Dad","    A teenage girl and her little brother must survive a wild 24 hours during which a mass hysteria of unknown origins causes parents to turn violently on their own kids.",86,"Horror",5.5,59,8556,"Brian Taylor","Nicolas Cage"
"95",95,"Submergence","    In a room with no windows on the eastern coast of Africa, a Scotsman, James More, is held captive by jihadist fighters. Thousands of miles away in the Greenland Sea, Danielle Flinders ...                See full summary »",112,"Drama",5.4,38,2503,"Wim Wenders","Alicia Vikander"
"96",96,"The Nanny","    A young girl, Noa, suspects her new nanny isn't from this world. Noa fights to reveal the nanny's identity, which is more twisted than she imagined in this dark fantasy tale.",NA,"Horror",4.2,NA,266,"Joel Novoa","Jaime Murray"
"97",97,"Catching Feelings","    Catching Feelings is a dark romantic comedy which follows an urbane young academic and his beautiful wife, as their lives get turned upside down when a celebrated and hedonistic older writer moves into their Johannesburg home with them.",124,"Comedy",5.2,NA,162,"Kagiso Lediga","Kagiso Lediga"
"98",98,"Gifted","    Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",101,"Drama",7.6,60,67226,"Marc Webb","Chris Evans"
"99",99,"Only the Brave","    Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",134,"Biography",7.7,72,28315,"Joseph Kosinski","Josh Brolin"
"100",100,"Jigsaw","    Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years.",92,"Crime",5.8,39,43588,"Michael Spierig","Matt Passmore"
